路線名稱	公車代碼
0東	0100000A00
0南	0100000B00
1	100000100
2	100000200
5	100000500
8	400000800
9	100000900
12	100001200
14	100001400
18	100001800
20	100002000
21	100002100
22	100002200
26	100002600
28	100002800
32	100003200
33	100003300
37	100003700
38	100003800
38區	100003820
39	100003900
39夜	100003940
41	100004100
42	100004200
42區	100004220
46	100004600
49	100004900
51	400005100
52	100005200
53	100005300
57	400005700
62	400006200
63	100006300
66	100006600
68	100006800
72	100007200
88	100008800
88區	100008820
99	400009900
108	100010800
108區	100010820
109	100010900
111	100011100
128	100012800
129	100012900
177瑞芳觀光公車	400017700
179	400017900
201	400020100
202	100020200
202區	100020220
203	100020300
204	100020400
205	100020500
206	100020600
207	100020700
208	100020800
208區	100020820
208直	100020830
211	100021100
212	100021200
212直	100021230
212夜	100021240
214	100021400
214直	100021430
215	100021500
216	100021600
218	100021800
218區	100021820
218直	100021830
221	100022100
222	100022200
223	100022300
224	100022400
225	100022500
225區	100022520
226	100022600
227	100022700
227區	100022720
230	100023000
231	400023100
232	100023200
232快	100023250
234	100023400
235	100023500
236區	100023620
237	100023700
240直	100024030
241	400024100
242	400024200
243	400024300
245	400024500
246	100024600
247	100024700
247區	100024720
249	400024900
250	100025000
251	100025100
251區	100025120
252	100025200
253	100025300
254	100025400
254區	100025420
255	100025500
255區	100025520
256	100025600
257	100025700
260	100026000
260區	100026020
261	100026100
262	100026200
262區	100026220
264	400026400
265區	100026520
265夜	100026540
265經中央路	100026500
265經明德路	100026590
267	100026700
268	100026800
270	100027000
270區	100027020
274	100027400
275	400027500
276	100027600
277	100027700
278	100027800
278區	100027820
279	100027900
280	100028000
280直	100028030
281	100028100
282	100028200
284	100028400
286	100028600
286副	100028610
287區	100028720
288	100028800
290副	400029010
290副萬和	400029070
292	100029200
292副	100029210
294	100029400
295	100029500
295副	100029510
297	100029700
298	100029800
299	100029900
300	100030000
302	100030200
302區	100030220
303	100030300
303區	100030320
304承德	100030400
304重慶	100030490
306	100030600
306區	100030620
307	100030700
307西藏三民	100030790
308	100030800
310	100031000
310區	100031020
311	100031100
311區	100031120
505	100050500
508	100050800
508區	100050820
513	100051300
520	400052000
521	100052100
529	100052900
530	100053000
531	100053100
536	100053600
536區	100053620
539	100053900
542	100054200
550	100055000
551	100055100
552	100055200
553	100055300
556	100055600
557	100055700
559	100055900
568	100056800
570	400057000
571	400057100
572	400057200
573	400057300
574	400057400
575	400057500
576	400057600
577	454051100
578	454021500
579	454021600
580	454022100
581	454022200
582	454022300
582經洲子洋	400058270
582經工業區	454058290
583	454022500
585	454050200
586	454090600
587	454090800
589	454091200
590	454091700
591	454091800
592	454070500
593	454011200
594	454011000
595	454011100
596	454050100
600	100060000
602	100060200
604	100060400
605	100060500
605副	100060510
605快	100060550
605新台五	100060590
606	100060600
611	100061100
612	100061200
615	100061500
616	100061600
617	100061700
617副	100061710
618	100061800
621	100062100
622	100062200
624	400062400
624綠野香坡	400062470
629	400062900
629區	400062920
630	100063000
631	400063100
635	400063500
636	400063600
637	400063700
638	400063800
638副	400063810
639	400063900
640	400064000
641	100064100
643	100064300
644	100064400
645	100064500
645副	100064510
646	100064600
647	100064700
648	100064800
651	100065100
652	100065200
656	400065600
657	400065700
657延	400065770
658	400065800
660	100066000
660區	100066020
662	100066200
663	100066300
666烏塗窟	400066670
666皇帝殿	400066690
666華梵大學	400066600
667	400066700
668	100066800
669	100066900
670	100067000
671	100067100
672	100067200
672區	100067220
673	100067300
675	100067500
676	100067600
677	400067700
677副	454091600
678	400067800
679	100067900
680	100068000
681	100068100
682	100068200
683	100068300
685	100068500
688	100068800
701	400070100
702	400070200
704	400070400
704區	400070420
705	400070500
706	400070600
707	400027510
711	100071100
712	400071200
712副	400071210
716(台灣好行-皇冠北海岸線)	400086270
731	400073100
756	100075600
757	100150400
758	100150300
760	400076000
778	400077800
779	400077900
780	400078000
781	400078100
782	400078200
783	400078300
785	400078500
786	400078600
786區	400078620
787	400078700
787經瑞芳工業區	400078770
788	400078800
788區	461078820
788海科館	400078870
789	400078900
789區	400078920
790	400079000
790漁港	400079070
791	400079100
791區	400079120
791繞貢寮	400079170
791經貢寮區衛生	400079190
793	400079300
795往木柵(台灣好行-木柵平溪線)	400079570
795往平溪(台灣好行-木柵平溪線)	400079580
795往十分寮(台灣好行-木柵平溪線)	400079500
796	400079600
797	400079700
799	400079900
800	400080000
