路線名稱,路線代碼,方向,站名,站牌ID,緯度,經度
0東,0100000A00,去程,瑞湖街口,1149400220,25.067523,121.576485
0東,0100000A00,去程,麗寶大樓,1149100300,25.070424,121.58271
0東,0100000A00,去程,公館山,1149100000,25.071952,121.581177
0東,0100000A00,去程,瑞光路,1147400070,25.074746,121.5776
0東,0100000A00,去程,內湖運動中心,1144800300,25.07724,121.5755879
0東,0100000A00,去程,港墘派出所,1144800100,25.0787,121.57642
0東,0100000A00,去程,西湖圖書館(湖光教會),1144700020,25.078723,121.5785305
0東,0100000A00,去程,湖光國宅,1147500320,25.078356,121.5815972
0東,0100000A00,去程,捷運文德站(碧湖公園),1147500220,25.078401,121.5841327
0東,0100000A00,去程,內湖高中,1147500020,25.078703,121.5875658
0東,0100000A00,去程,方濟中學,1146000140,25.076435,121.5900771
0東,0100000A00,去程,將軍嶺,1147200240,25.073372,121.58972
0東,0100000A00,去程,三總內湖站,1149000100,25.071852,121.592095
0東,0100000A00,去程,國防醫學中心,1147200140,25.071037,121.5898699
0東,0100000A00,去程,內湖行政大樓,1146600160,25.06916,121.58832
0東,0100000A00,去程,三民國中,1146600060,25.06901,121.58556
0東,0100000A00,去程,時報廣場,1149401060,25.06856,121.5831298
0東,0100000A00,去程,民權大橋,1149400360,25.06702,121.5791
0東,0100000A00,去程,新益里,1059200140,25.062286,121.566155
0東,0100000A00,去程,民生國中,1059100040,25.059661,121.5679233
0東,0100000A00,去程,新東街口,1058900160,25.059272,121.5663967
0東,0100000A00,去程,三民路,1058200140,25.0575,121.5634
0東,0100000A00,去程,三民健康路口(西松高中),1058200040,25.055245,121.5635808
0東,0100000A00,去程,健康新城,1058600260,25.054217,121.5621625
0東,0100000A00,去程,長壽公園,1058600160,25.054069,121.559764
0東,0100000A00,去程,三軍總醫院松山分院,1056400060,25.053881,121.5578743
0東,0100000A00,去程,南京新村,1057900140,25.052778,121.5568095
0東,0100000A00,去程,博仁醫院,1056000040,25.04937,121.55774
0東,0100000A00,去程,光復路口,1055400060,25.048151,121.5567576
0東,0100000A00,去程,美仁里,1055400160,25.04821,121.553906
0東,0100000A00,去程,臺視,1055900061,25.048248,121.551437
0東,0100000A00,去程,市民敦化路口,1055700240,25.045271,121.548797
0東,0100000A00,去程,忠孝敦化路口,1069000140,25.041865,121.5487541
0東,0100000A00,去程,仁愛敦化路口,1068500140,25.039043,121.548697
0東,0100000A00,去程,信義敦化路口,1068100141,25.034123,121.5485022
0東,0100000A00,去程,信義大安路口,1068400060,25.033383,121.5461666
0東,0100000A00,去程,捷運大安站(信義),1068400260,25.033404,121.5438266
0東,0100000A00,去程,師大附中,1065800360,25.033382,121.542275
0東,0100000A00,去程,信義建國路口,1065800160,25.033595,121.538468
0東,0100000A00,去程,捷運大安森林公園站,1065600460,25.03355,121.5359159
0東,0100000A00,去程,信義新生路口,1065600360,25.033627,121.5331327
0東,0100000A00,去程,信義永康街口,1065100260,25.033765,121.5301447
0東,0100000A00,去程,捷運東門站,1005700060,25.034232,121.526986
0東,0100000A00,去程,信義杭州路口,1004800860,25.035417,121.5246296
0東,0100000A00,去程,中正紀念堂,1004800960,25.03739,121.52056
0東,0100000A00,去程,捷運台大醫院站,1004801100,25.041927,121.5163535
0東,0100000A00,去程,博物館(館前),1004700200,25.044177,121.5150573
0東,0100000A00,去程,臺北車站(忠孝),1004100720,25.046563,121.5156894
0東,0100000A00,返程,臺北車站(公園),1004700340,25.043929,121.516775
0東,0100000A00,返程,捷運台大醫院站,1004600040,25.041935,121.5161481
0東,0100000A00,返程,中正紀念堂,1004800920,25.037153,121.520771
0東,0100000A00,返程,信義杭州路口,1004800820,25.0357,121.5238361
0東,0100000A00,返程,捷運東門站,1064100120,25.034134,121.5269937
0東,0100000A00,返程,信義永康街口(捷運東門站),1065000320,25.033693,121.529727
0東,0100000A00,返程,信義新生路口,1006100020,25.03353,121.5323283
0東,0100000A00,返程,捷運大安森林公園站,1065600420,25.033496,121.5356316
0東,0100000A00,返程,信義建國路口,1065800120,25.033441,121.539045
0東,0100000A00,返程,捷運大安站(信義),1065800420,25.033323,121.5432319
0東,0100000A00,返程,信義大安路口,1068300220,25.0332,121.5456
0東,0100000A00,返程,信義敦化路口,1068100120,25.033262,121.548298
0東,0100000A00,返程,仁愛國中,1068900100,25.035951,121.5490897
0東,0100000A00,返程,安和敦化路口,1068900400,25.039761,121.5489579
0東,0100000A00,返程,捷運忠孝敦化站,1069000200,25.043012,121.549174
0東,0100000A00,返程,市民大道口,1055700000,25.045757,121.5491941
0東,0100000A00,返程,臺視,1055900020,25.04807,121.5511
